id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,anomaly,cluster
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,-0.3033882541049688,-0.36455252212657807,-1.7148160424389376,-0.21666087539492,-0.1758825202659344,-0.3025609025939246,-0.30327382670082825,0.26662803194425544,0.5972927395153425,0.07877612495149063,0.47359027926277375,-0.6819569811731868,-0.6742017230328465,-1.113417083922196,-0.3489524898558726,0.9939490939559255,2025-08-14T00:37:02.582Z,-0.08265869060421843,-0.27243787371565165,2013-07-06T00:00:00.000Z,None,2025-09-20T05:09:00.799Z,1,2
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,-0.3033882541049688,-0.36455252212657807,-1.680173294106838,-0.21666087539492,-0.1758825202659344,-0.3025609025939246,-0.30327382670082825,0.26662803194425544,0.24614547923919378,0.07877612495149063,0.1689332224688272,-0.6441515176312633,-0.6497492947797281,0.9043797088775835,-0.3489524898558726,0.9136272370840449,2025-08-24T19:21:03.333Z,-0.263450657602437,-0.27243787371565165,2015-10-20T00:00:00.000Z,"{'currency': 'btc', 'percentage': 5072.0565173726445, 'times': 50.72056517372645}",2025-09-20T05:09:00.581Z,1,2
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,-0.3051894643232068,-0.36455252212657807,-1.6455305457747382,-0.21666087539492,-0.1758825202659344,-0.30576421752201005,-0.30485708163477004,0.28038791820705505,0.22088129031163134,0.07877612495149063,0.1663391016426061,-0.09298586763149651,-0.25253506455737523,-1.0948488793561189,-0.3801659134126101,0.6588721895192052,2025-07-18T03:40:53.808Z,-0.7933248522640954,-0.27243787371565165,2014-05-22T00:00:00.000Z,None,2025-09-20T05:08:58.720Z,1,2
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,-0.33635823244750074,-0.36455252212657807,-1.6108877974426383,-0.21666087539492,-0.1758825202659344,-0.33701941889175857,-0.3362055293268177,0.35653364990786457,1.3393072659424266,1.210693373364923,1.1018213614204058,-0.09298586763149651,-0.25253506455737523,0.9043797088775835,-0.39563980211201394,0.46165297546693546,2018-07-24T00:00:00.000Z,-0.09161485976934501,-0.4905895995475857,2015-03-02T00:00:00.000Z,None,2025-09-20T05:09:00.084Z,1,2
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,-0.3033882541049688,-0.36455252212657807,-1.5762450491105386,-0.21666087539492,-0.1758825202659344,-0.3025609025939246,-0.30327382670082825,0.26662803194425544,1.6624745435427137,0.07877612495149063,1.4078554167443742,-0.637218145826575,-0.6452648165926447,-1.1133838398547686,-0.3489524898558726,1.1875643403269982,2025-09-18T08:21:02.905Z,-0.7476001298946191,-0.27243787371565165,2017-10-19T00:00:00.000Z,None,2025-09-20T05:09:03.262Z,1,2
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,3.3871348560893724,-0.36455252212657807,-1.541602300778439,-0.21666087539492,-0.1758825202659344,3.3933018303862434,3.3860268203703576,0.26662803194425544,-0.1867130732083118,0.07877612495149063,-0.1927944925019821,-0.4857245077688974,-0.5310228154939411,0.9043797088775835,1.543510739235169,0.6375978996095719,2025-01-19T11:15:27.957Z,-0.1799328100681034,-0.27243787371565165,2020-05-11T19:35:23.449Z,None,2025-09-20T05:08:59.381Z,-1,1
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,-0.3363627433043951,-0.36455252212657807,-1.5069595524463393,-0.21666087539492,-0.1758825202659344,-0.3370389591128199,-0.33621293895990856,0.35651681582079014,1.3385582914333665,-0.6182449217370322,0.9872726185353257,-0.09298586763149651,-0.25253506455737523,0.9043797088775835,-0.3966359752042502,0.7544724622566429,2019-05-08T00:40:28.300Z,0.2841255599581926,-0.5222522569073603,2023-03-11T08:02:13.981Z,None,2025-09-20T05:09:01.272Z,1,2
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,-0.34786188861539274,-0.36455252212657807,-1.4723168041142394,-0.21666087539492,-0.1758825202659344,-0.34806550128155944,-0.34786301957288185,0.34100125064924963,-1.1432813949746734,0.07877612495149063,-1.0266057821642323,-0.09298586763149651,-0.25253506455737523,0.9043797088775835,-0.3995476032005464,-0.732633165769282,2021-05-08T05:08:23.458Z,-0.7965257129918014,-0.27243787371565165,2015-05-06T00:00:00.000Z,None,2025-09-20T05:08:54.153Z,1,0
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,-0.3033882541049688,-0.36455252212657807,-1.4376740557821397,-0.21666087539492,-0.7060471807976394,-0.3025609025939246,-0.30327382670082825,0.26662803194425544,0.22390763446612613,0.07877612495149063,-0.014264312300603403,-0.6862129632808511,-0.6769544758728907,0.9043797088775835,-0.3489524898558726,0.9175527596485871,2025-08-24T19:21:31.902Z,-0.08265869060421843,-0.0997697241052782,2020-12-22T04:08:21.854Z,None,2025-09-20T05:08:58.833Z,1,2
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,-0.3465982378397647,-0.36455252212657807,-1.40303130745004,-0.21666087539492,3.568367170605284,-0.34698188085691056,-0.34660540851375315,0.35499976665925004,1.1555101392638187,-0.13324039393506898,0.9323112951853504,-0.09298586763149651,-0.25253506455737523,0.9043797088775835,-0.40154187531966395,0.6034237274043805,2024-12-04T00:10:40.323Z,-0.794410810864625,-0.27243787371565165,2017-11-12T00:00:00.000Z,"{'currency': 'usd', 'percentage': 18121.922894428993, 'times': 181.21922894428994}",2025-09-20T05:09:00.501Z,1,2
